SARA_ID,WSCSSDA_ID
SARA_851,05BA
SARA_852,05BF
SARA_853,05BF
SARA_854,05DB
SARA_855,05DC
SARA_856,05AD
SARA_857,05DD
SARA_858,05AA
SARA_859,05AD
SARA_860,05DD
SARA_861,05DB
SARA_862,05BC
SARA_863,05BC
SARA_864,05DD
SARA_865,05BL
SARA_866,05DD
SARA_867,05AA
SARA_868,05BL
SARA_869,05DD
SARA_870,05BF
SARA_871,05DC
SARA_872,05AA
SARA_873,05BD
SARA_874,05BD
SARA_875,05DB
SARA_876,05CA
SARA_877,05CA
SARA_878,05AA
SARA_879,05AA
SARA_880,05DD
SARA_881,05CA
SARA_882,05DB
SARA_883,05AA
SARA_884,05DD
SARA_885,05DD
SARA_886,05DC
SARA_887,05CA
SARA_888,05BL
SARA_889,05DA
SARA_890,05BJ
SARA_891,05DC
SARA_892,05DC
SARA_893,05BH
SARA_894,05DC
SARA_895,05DA
SARA_896,05CB
SARA_897,05BA
SARA_898,05BJ
SARA_899,05DB
SARA_900,05AA
SARA_901,05DC
SARA_902,05BC
SARA_902,05BF
SARA_903,05AA
SARA_904,05DD
SARA_905,05BA
SARA_906,05BC
SARA_907,05AA
SARA_908,05CA
SARA_909,05DA
SARA_910,05AA
SARA_911,05AA
SARA_912,05AD
SARA_913,05BL
SARA_914,05DC
SARA_915,05AD
SARA_916,05BG
SARA_917,05BJ
SARA_918,05AA
SARA_919,05DD
SARA_920,05CA
SARA_921,05BG
SARA_922,05AA
SARA_923,05BF
SARA_924,05AA
SARA_925,05AA
SARA_926,05AA
SARA_927,05DD
SARA_928,05DD
SARA_929,05DD
SARA_930,05BF
SARA_931,05BG
SARA_932,05BG
SARA_933,05AA
SARA_934,05BF
SARA_935,05BF
SARA_936,05AD
SARA_937,05AA
SARA_938,05BF
SARA_939,05BC
SARA_940,05BC
SARA_941,05BC
SARA_942,05BC
SARA_943,05DA
SARA_944,05BC
SARA_944,05BE
SARA_945,05AE
SARA_946,05AA
SARA_947,05BG
SARA_948,05DD
SARA_949,05BL
SARA_950,05BD
SARA_951,05BL
SARA_952,05BL
SARA_953,05CA
SARA_954,05DD
SARA_955,05AA
SARA_956,05BL
SARA_957,05CA
SARA_958,05DD
SARA_959,05AA
SARA_960,05BL
SARA_961,05BB
SARA_962,05DC
SARA_963,05DC
SARA_964,05BB
SARA_965,05DD
SARA_966,05AA
SARA_967,05BJ
SARA_968,05DC
SARA_969,05DC
SARA_970,05DB
SARA_971,05CA
SARA_972,05DC
SARA_973,05DA
SARA_974,05DD
SARA_975,05BF
SARA_976,05BF
SARA_977,05BJ
SARA_977,05BL
SARA_978,05DD
SARA_979,05DB
SARA_980,05DD
SARA_981,05BJ
SARA_982,05BJ
SARA_983,05DB
SARA_984,05DC
SARA_985,05BC
SARA_986,05CB
SARA_987,05AD
SARA_988,05DB
SARA_989,05BD
SARA_990,05DA
SARA_991,05CA
SARA_992,05CA
SARA_993,05AA
SARA_994,05AA
SARA_995,05AA
SARA_996,05AD
SARA_997,05AD
SARA_998,05BA
SARA_999,05BA
SARA_999,05BB
SARA_1000,05BC
SARA_1001,05BB
SARA_1001,05BD
SARA_1001,05BE
SARA_1002,05BB
SARA_1002,05BD
SARA_1003,05BF
SARA_1004,05BG
SARA_1005,05BJ
SARA_1006,05BL
SARA_1007,05BL
SARA_1008,05CA
SARA_1009,05CA
SARA_1010,05CA
SARA_1011,05CA
SARA_1012,05CA
SARA_1013,05CA
SARA_1014,05DA
SARA_1015,05DA
SARA_1016,05DA
SARA_1017,05DA
SARA_1018,05DC
SARA_1019,05DB
SARA_1019,05DC
SARA_1020,05DC
SARA_1021,05DB
SARA_1022,05DB
SARA_1023,05DB
SARA_1024,05DD
SARA_1025,05DD
