,FederalSit,Property_N,Site_Name_,CurrentSit,ClassType,ClassEN,Location_E,DOB_Identi,DOB_Name_E,Involvemen,Involvem_1,PropertyTy,Property_1,Contaminan,Contamin_1,Contaminat,Management,Additional,Action_EN,NonFedOwne,NonFedOw_1,EstCubicMe,EstHectare,EstTonsCon,Population,Populati_1,Populati_2,Populati_3,Populati_4,Province_C,Province_N,Census_Sub,Census_S_1,Federal_El,Federal__1,Country_Co,Country_Na,Latitude,Longitude,Created,Modified,FCSILink_E,mi_prinx,PRV_WSHD_I,NHN_TWS_ID
13366,20618,84241,Genelle Lower - No Contamination Identified,C,NA,NA,NA,DFO,Fisheries and Oceans Canada,0,Federal Real Property,F,Federal,NA,NA,NA,NA,Unassessed,NA,0,NA,0,0,0,146,1143,5999,34641,59812,59,British Columbia,30,Kootenay Boundary B,29,South Okanagan--West Kootenay,CA,Canada,49.2,-117.71139,7/24/2007,7/24/2007,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00020618-eng.aspx,14082,BC_96,08NE
13367,20619,84243,Genelle Upper Front Range - Unassessed,C,NA,NA,NA,DFO,Fisheries and Oceans Canada,0,Federal Real Property,F,Federal,NA,NA,NA,NA,Unassessed,NA,0,NA,0,0,0,590,1482,7160,34982,60005,59,British Columbia,30,Kootenay Boundary B,29,South Okanagan--West Kootenay,CA,Canada,49.20833,-117.69583,7/24/2007,7/24/2007,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00020619-eng.aspx,14083,BC_96,08NE
13368,20620,84242,Genelle Upper Back Range - Unassessed,C,NA,NA,NA,DFO,Fisheries and Oceans Canada,0,Federal Real Property,F,Federal,NA,NA,Marine Facilities/Aquatic Sites,Assessment,NA,NA,0,NA,0,0,0,309,1163,6512,34770,59856,59,British Columbia,26,Kootenay Boundary A,29,South Okanagan--West Kootenay,CA,Canada,49.200278,-117.69777,7/24/2007,7/24/2007,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00020620-eng.aspx,14084,BC_96,08NE
13369,20621,84271,Haddington Island West Geographical Toponym (GT) - Unassessed,C,NA,NA,NA,DFO,Fisheries and Oceans Canada,0,Federal Real Property,F,Federal,NA,NA,Marine Facilities/Aquatic Sites,Assessment,NA,NA,0,NA,0,0,0,2,3633,6065,6890,14676,59,British Columbia,31,Mount Waddington C,37,North Island--Powell River,CA,Canada,50.6025,-127.02667,7/24/2007,7/24/2007,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00020621-eng.aspx,14085,BC_160,08HF
13370,20622,84325,Jordan Creek Front Range - Unassessed,C,NA,NA,NA,DFO,Fisheries and Oceans Canada,0,Federal Real Property,F,Federal,NA,NA,NA,NA,Unassessed,NA,0,NA,0,0,0,349,1770,7449,35127,60006,59,British Columbia,58,Central Kootenay J,29,South Okanagan--West Kootenay,CA,Canada,49.20778,-117.68111,7/24/2007,7/24/2007,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00020622-eng.aspx,14086,BC_96,08NE
13371,20623,84324,Jordan Creek Back Range - Unassessed,C,NA,NA,NA,DFO,Fisheries and Oceans Canada,0,Federal Real Property,F,Federal,NA,NA,NA,NA,Unassessed,NA,0,NA,0,0,0,389,1824,7517,35155,60020,59,British Columbia,58,Central Kootenay J,29,South Okanagan--West Kootenay,CA,Canada,49.20861,-117.68111,7/24/2007,7/24/2007,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00020623-eng.aspx,14087,BC_96,08NE
13372,20624,16147,Kootenay Landing Range Rear - Unassessed,C,NA,NA,NA,DFO,Fisheries and Oceans Canada,0,Federal Real Property,F,Federal,NA,NA,Marine Facilities/Aquatic Sites,Assessment,NA,NA,0,NA,0,0,0,3,81,358,9858,18772,59,British Columbia,17,Central Kootenay C,15,Kootenay--Columbia,CA,Canada,49.2535,-116.68197,7/24/2007,7/24/2007,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00020624-eng.aspx,14088,BC_90,08NH
13373,20625,84335,Kinnaird Lower - Unassessed,C,NA,NA,NA,DFO,Fisheries and Oceans Canada,0,Federal Real Property,F,Federal,NA,NA,NA,NA,Unassessed,NA,0,NA,0,0,0,1436,9143,13128,34239,62639,59,British Columbia,45,Castlegar,29,South Okanagan--West Kootenay,CA,Canada,49.29278,-117.645,7/24/2007,7/24/2007,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00020625-eng.aspx,14089,BC_96,08NE
13374,20626,84338,Kinnaird Upper - Unassessed,C,NA,NA,NA,DFO,Fisheries and Oceans Canada,0,Federal Real Property,F,Federal,NA,NA,NA,NA,Unassessed,NA,0,NA,0,0,0,830,9154,13020,34031,62357,59,British Columbia,45,Castlegar,29,South Okanagan--West Kootenay,CA,Canada,49.29833,-117.64083,7/24/2007,7/24/2007,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00020626-eng.aspx,14090,BC_96,08NE
13375,20627,84337,Kinnaird Rapids Upper Front Range - Unassessed,C,NA,NA,NA,DFO,Fisheries and Oceans Canada,0,Federal Real Property,F,Federal,NA,NA,NA,NA,Unassessed,NA,0,NA,0,0,0,959,7718,13201,24373,62475,59,British Columbia,56,Central Kootenay I,29,South Okanagan--West Kootenay,CA,Canada,49.32556,-117.64667,7/24/2007,7/24/2007,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00020627-eng.aspx,14091,BC_96,08NE
