Site_ID,Latitude,Longitude,WSCSSDA,PRPWSHID,WQI,WQI_category
2014,49.03332,-122.0131,08MH,BC_28,NA,NA
2015,49.03336,-119.4764,08NM,BC_161,NA,NA
2016,49.0334,-118.2217,08NN,BC_78,NA,NA
2017,49.03372,-119.4691,08NM,BC_161,NA,NA
2018,49.03385,-122.3606,08MH,BC_103,NA,NA
2019,49.03419,-122.4714,08MH,BC_103,NA,NA
2020,49.0344,-118.4753,08NN,BC_78,NA,NA
2021,49.03449,-122.3893,08MH,BC_103,NA,NA
2022,49.03451,-122.0111,08MH,BC_28,NA,NA
2023,49.0347,-118.435,08NN,BC_78,NA,NA
2024,49.034910000000004,-116.5683,08NH,BC_90,NA,NA
2025,49.035,-122.2314,08MH,BC_28,NA,NA
2026,49.0352,-122.3679,08MH,BC_103,39.60163346046514,Poor
2027,49.0353,-118.4756,08NN,BC_78,NA,NA
2028,49.03536,-122.6977,08MH,BC_103,NA,NA
2029,49.03556,-123.1,08MH,BC_103,NA,NA
2030,49.03561,-122.2015,08MH,BC_28,NA,NA
2031,49.03579,-122.2929,08MH,BC_28,NA,NA
2032,49.0361,-118.4761,08NN,BC_78,NA,NA
2033,49.03622,-123.8692,08HA,BC_36,NA,NA
2034,49.0363,-122.4707,08MH,BC_103,NA,NA
2035,49.03635,-122.3785,08MH,BC_103,NA,NA
2036,49.03661,-123.8795,08HA,BC_36,NA,NA
2037,49.0367,-122.4925,08MH,BC_103,NA,NA
2038,49.0367,-121.9981,08MH,BC_28,NA,NA
2039,49.0369,-119.4627,08NM,BC_161,NA,NA
2040,49.03692,-123.8599,08HA,BC_36,NA,NA
2041,49.03699,-123.8287,08HA,BC_36,NA,NA
2042,49.037,-125.106,08HB,BC_2,NA,NA
2043,49.03703,-119.4635,08NM,BC_161,NA,NA
2044,49.03711,-122.4926,08MH,BC_103,53.192888379241126,Marginal
2045,49.03749,-97.00987,05OD,NA,NA,NA
2046,49.0375,-122.3165,08MH,BC_103,NA,NA
2047,49.03756,-123.8753,08HA,BC_36,NA,NA
2048,49.03758,-122.3164,08MH,BC_103,NA,NA
2049,49.0376,-122.5345,08MH,BC_103,NA,NA
2050,49.03766,-122.3164,08MH,BC_103,NA,NA
2051,49.03768,-122.3165,08MH,BC_103,NA,NA
2052,49.03769,-122.3163,08MH,BC_103,NA,NA
2053,49.03778,-122.6047,08MH,BC_103,NA,NA
2054,49.03783,-122.3605,08MH,BC_103,NA,NA
2055,49.0381,-114.7983,08NK,BC_46,NA,NA
