,OPERATIO_E,OPERATIO_F,OWNER_E,OWNER_F,FAC_TYPE_E,FAC_TYPE_F,COM_GROU_E,COM_GROU_F,COM_DESC_E,COM_DESC_F,PROVINCE_E,PROVINCE_F,LATITUDE,LONGITUDE,PRV_WSHD_I,NHN_TWS_ID,Longitude,Latitude
62,AIM Recycling Hamilton,AIM Recycling Hamilton,American Iron & Metal Co. Inc.,La Compagnie Américaine de Fer et Métaux Inc.,N/A,N/A,N/A,N/A,N/A,N/A,Ontario,Ontario,43.259378,-79.778036,ON-02HB-01,02HB,-79.778036,43.259378
63,Hamilton Parkdale Division,Division Hamilton Parkdale,Triple M Metals Inc.,Triple M Metals Inc.,N/A,N/A,N/A,N/A,N/A,N/A,Ontario,Ontario,43.260957,-79.782925,ON-02HB-01,02HB,-79.782925,43.260957
64,Sault Ste. Marie Division,Division Sault Ste. Marie,Triple M Metals Inc.,Triple M Metals Inc.,N/A,N/A,N/A,N/A,N/A,N/A,Ontario,Ontario,46.524326,-84.395602,ON-02CAA05,02CA,-84.395602,46.524326
65,Selkirk Division,Division Selkirk,Gerdau Corporation,Gerdau Corporation,N/A,N/A,N/A,N/A,N/A,N/A,Manitoba,Manitoba,50.133771,-96.911166,NA,05OJ,-96.911166,50.133771
66,General Scrap,General Scrap,Evraz Inc.,Evraz Inc.,N/A,N/A,N/A,N/A,N/A,N/A,Manitoba,Manitoba,49.928603,-97.019187,NA,05OJ,-97.019187,49.928603
67,Industrial Metals,Industrial Metals,Industrial Metals,Industrial Metals,N/A,N/A,N/A,N/A,N/A,N/A,Manitoba,Manitoba,49.88847,-97.098232,NA,05OH,-97.098232,49.88847
68,Wheat City Metals Inc.,Wheat City Metals Inc.,Evraz Inc.,Evraz Inc.,N/A,N/A,N/A,N/A,N/A,N/A,Saskatchewan,Saskatchewan,50.525046,-104.639712,NA,05JF,-104.639712,50.525046
69,GenAlta Recycling Inc.,GenAlta Recycling Inc.,Evraz Inc.,Evraz Inc.,N/A,N/A,N/A,N/A,N/A,N/A,Alberta,Alberta,53.588119,-113.274102,AB-11030101,05EB,-113.274102,53.588119
70,Calgary Facility,Installation Calgary,Calgary Metal Recycling Inc.,Calgary Metal Recycling Inc.,N/A,N/A,N/A,N/A,N/A,N/A,Alberta,Alberta,51.02419,-114.031993,AB-04020901,05BM,-114.031993,51.02419
71,Navajo Metals Inc.,Navajo Metals Inc.,Evraz Inc.,Evraz Inc.,N/A,N/A,N/A,N/A,N/A,N/A,Alberta,Alberta,51.001803,-114.032869,AB-04020901,05BM,-114.032869,51.001803
72,Richmond,Richmond,Richmond Steel Recycling Limited,Richmond Steel Recycling Limited,N/A,N/A,N/A,N/A,N/A,N/A,British Columbia,Colombie-Britannique,49.201528,-123.086842,BC_103,08MH,-123.086842,49.201528
73,Victoria Depot,Dépôt Victoria,"Schnitzer Steel Industries, Inc.","Schnitzer Steel Industries, Inc.",N/A,N/A,N/A,N/A,N/A,N/A,British Columbia,Colombie-Britannique,48.43732,-123.37692,BC_243,08HA,-123.37692,48.43732
