En_Name,Bio_Zone_Code,PRV_WSHD_I,NHN_TWS_ID
Pacific,81,BC_193,NA
Pacific,81,BC_194,NA
Pacific,81,BC_195,NA
Yukon,9,BC_196,NA
Pacific,81,BC_197,NA
Pacific,81,BC_198,NA
Pacific Islands,82,BC_199,NA
Pacific Islands,82,BC_2,NA
Pacific Islands,82,BC_20,NA
Pacific,81,BC_200,NA
Pacific,81,BC_201,NA
Pacific,81,BC_202,NA
Pacific,81,BC_203,NA
Yukon,9,BC_204,NA
Pacific,81,BC_205,NA
Western Arctic,101,BC_206,NA
Pacific,81,BC_207,NA
Western Arctic,101,BC_208,NA
Pacific,81,BC_209,NA
Pacific,81,BC_21,NA
Western Arctic,101,BC_210,NA
Pacific Islands,82,BC_211,NA
Western Arctic,101,BC_212,NA
Yukon,9,BC_213,NA
Pacific,81,BC_214,NA
Pacific,81,BC_215,NA
Pacific,81,BC_216,NA
Pacific,81,BC_217,NA
Western Arctic,101,BC_218,NA
Pacific,81,BC_219,NA
Western Arctic,101,BC_22,NA
Pacific,81,BC_220,NA
Pacific,81,BC_221,NA
Pacific,81,BC_222,NA
Western Arctic,101,BC_223,NA
Western Arctic,101,BC_224,NA
Pacific,81,BC_225,NA
Yukon,9,BC_226,NA
Western Arctic,101,BC_227,NA
Western Arctic,101,BC_228,NA
Western Arctic,101,BC_229,NA
Pacific,81,BC_23,NA
Pacific,81,BC_230,NA
Pacific,81,BC_231,NA
Pacific,81,BC_232,NA
Pacific,81,BC_233,NA
Western Arctic,101,BC_234,NA
Western Arctic,101,BC_235,NA
Western Arctic,101,BC_236,NA
Western Arctic,101,BC_237,NA
Pacific,81,BC_238,NA
Western Arctic,101,BC_239,NA
Pacific,81,BC_24,NA
Pacific,81,BC_240,NA
Pacific,81,BC_241,NA
Pacific,81,BC_242,NA
Pacific Islands,82,BC_243,NA
Pacific,81,BC_244,NA
Pacific,81,BC_245,NA
Pacific,81,BC_246,NA
Pacific,81,BC_25,NA
Pacific,81,BC_26,NA
Pacific,81,BC_27,NA
Pacific,81,BC_28,NA
Pacific Islands,82,BC_29,NA
Yukon,9,BC_3,NA
Pacific,81,BC_30,NA
Pacific,81,BC_31,NA
Western Arctic,101,BC_32,NA
Pacific,81,BC_33,NA
Pacific Islands,82,BC_34,NA
Pacific,81,BC_35,NA
Pacific Islands,82,BC_36,NA
Western Arctic,101,BC_37,NA
Western Arctic,101,BC_38,NA
Pacific,81,BC_39,NA
Pacific,81,BC_4,NA
Western Arctic,101,BC_40,NA
Western Arctic,101,BC_41,NA
Pacific,81,BC_42,NA
Pacific,81,BC_43,NA
Pacific,81,BC_44,NA
Western Arctic,101,BC_45,NA
Pacific,81,BC_46,NA
Pacific,81,BC_47,NA
Pacific,81,BC_48,NA
Western Arctic,101,BC_49,NA
Pacific,81,BC_5,NA
Western Arctic,101,BC_50,NA
Western Arctic,101,BC_51,NA
Western Arctic,101,BC_52,NA
